"cell_barcode","fov","core_id"
"c_1_100_1000",100,"K5"
"c_1_100_1012",100,"K5"
"c_1_100_1024",100,"K5"
"c_1_100_1045",100,"K5"
"c_1_100_1054",100,"K5"
"c_1_100_106",100,"K5"
"c_1_100_1075",100,"K5"
"c_1_100_1078",100,"K5"
"c_1_100_1083",100,"K5"
"c_1_100_1091",100,"K5"
"c_1_100_11",100,"K5"
"c_1_100_110",100,"K5"
"c_1_100_1133",100,"K5"
"c_1_100_1139",100,"K5"
"c_1_100_1140",100,"K5"
"c_1_100_1147",100,"K5"
"c_1_100_1148",100,"K5"
"c_1_100_1159",100,"K5"
"c_1_100_1183",100,"K5"
"c_1_100_1202",100,"K5"
"c_1_100_1220",100,"K5"
"c_1_100_1222",100,"K5"
"c_1_100_1233",100,"K5"
"c_1_100_1243",100,"K5"
"c_1_100_1256",100,"K5"
"c_1_100_1257",100,"K5"
"c_1_100_1260",100,"K5"
"c_1_100_127",100,"K5"
"c_1_100_1280",100,"K5"
"c_1_100_1295",100,"K5"
"c_1_100_1301",100,"K5"
"c_1_100_1322",100,"K5"
"c_1_100_1336",100,"K5"
"c_1_100_1361",100,"K5"
"c_1_100_1365",100,"K5"
"c_1_100_1366",100,"K5"
"c_1_100_1377",100,"K5"
"c_1_100_1389",100,"K5"
"c_1_100_1407",100,"K5"
"c_1_100_183",100,"K5"
"c_1_100_214",100,"K5"
"c_1_100_224",100,"K5"
"c_1_100_285",100,"K5"
"c_1_100_3",100,"K5"
"c_1_100_31",100,"K5"
"c_1_100_335",100,"K5"
"c_1_100_365",100,"K5"
"c_1_100_373",100,"K5"
"c_1_100_396",100,"K5"
"c_1_100_408",100,"K5"
"c_1_100_426",100,"K5"
"c_1_100_468",100,"K5"
"c_1_100_480",100,"K5"
"c_1_100_501",100,"K5"
"c_1_100_528",100,"K5"
"c_1_100_530",100,"K5"
"c_1_100_533",100,"K5"
"c_1_100_54",100,"K5"
"c_1_100_546",100,"K5"
"c_1_100_575",100,"K5"
"c_1_100_594",100,"K5"
"c_1_100_625",100,"K5"
"c_1_100_65",100,"K5"
"c_1_100_708",100,"K5"
"c_1_100_714",100,"K5"
"c_1_100_782",100,"K5"
"c_1_100_789",100,"K5"
"c_1_100_8",100,"K5"
"c_1_100_803",100,"K5"
"c_1_100_84",100,"K5"
"c_1_100_843",100,"K5"
"c_1_100_876",100,"K5"
"c_1_100_878",100,"K5"
"c_1_100_887",100,"K5"
"c_1_100_897",100,"K5"
"c_1_100_921",100,"K5"
"c_1_100_927",100,"K5"
"c_1_100_951",100,"K5"
"c_1_100_973",100,"K5"
"c_1_101_131",101,"K5"
"c_1_101_148",101,"K5"
"c_1_101_150",101,"K5"
"c_1_101_154",101,"K5"
"c_1_101_177",101,"K5"
"c_1_101_186",101,"K5"
"c_1_101_196",101,"K5"
"c_1_101_205",101,"K5"
"c_1_101_227",101,"K5"
"c_1_101_25",101,"K5"
"c_1_101_37",101,"K5"
"c_1_101_73",101,"K5"
"c_1_101_81",101,"K5"
"c_1_101_94",101,"K5"
"c_1_102_112",102,"K7"
"c_1_102_14",102,"K7"
"c_1_102_148",102,"K7"
"c_1_102_163",102,"K7"
"c_1_102_194",102,"K7"
"c_1_102_205",102,"K7"
"c_1_102_229",102,"K7"
"c_1_102_25",102,"K7"
"c_1_102_251",102,"K7"
"c_1_102_271",102,"K7"
"c_1_102_30",102,"K7"
"c_1_102_301",102,"K7"
"c_1_102_323",102,"K7"
"c_1_102_330",102,"K7"
"c_1_102_340",102,"K7"
"c_1_102_355",102,"K7"
"c_1_102_367",102,"K7"
"c_1_102_379",102,"K7"
"c_1_102_388",102,"K7"
"c_1_102_396",102,"K7"
"c_1_102_421",102,"K7"
"c_1_102_437",102,"K7"
"c_1_102_453",102,"K7"
"c_1_102_533",102,"K7"
"c_1_102_575",102,"K7"
"c_1_102_58",102,"K7"
"c_1_102_581",102,"K7"
"c_1_102_590",102,"K7"
"c_1_102_593",102,"K7"
"c_1_102_598",102,"K7"
"c_1_102_604",102,"K7"
"c_1_102_607",102,"K7"
"c_1_102_614",102,"K7"
"c_1_102_619",102,"K7"
"c_1_102_624",102,"K7"
"c_1_102_639",102,"K7"
"c_1_102_641",102,"K7"
