Unnamed: 0,caption,image_path,subset,split,pathology,roi_text,noisy_text,corrected_text,med_umls_ids,magnification,height,width,not_histology,single_wsi
5312,Red blood cells that appear fragmented and broken within the mesangium.,HckEwJ_mAJE_image_ff8af70b-48bf-480f-b229-50dae7bb7f24.jpg,quilt,train,"['Renal', 'Hematopathology', 'Pulmonary']","['MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel', 'MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel']"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular Illumina. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular capillaries. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary","[[{'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'MPGN', 'concept_id': 'C0017662', 'confidence': 1.0}, {'entity': 'pattern', 'concept_id': 'C0449774', 'confidence': 1.0}], [{'entity': 'Red blood cells', 'concept_id': 'C0014772', 'confidence': 1.0}, {'entity': 'mesangium', 'concept_id': 'C0017655', 'confidence': 1.0}], [{'entity': 'occluded', 'concept_id': 'C0028778', 'confidence': 1.0}, {'entity': 'glomerular lumen', 'concept_id': 'C0022663', 'confidence': 0.8263139724731445}], [{'entity': 'Abnormality', 'concept_id': 'C1704258', 'confidence': 1.0}, {'entity': 'wall', 'concept_id': 'C0677535', 'confidence': 1.0}, {'entity': 'blood vessel', 'concept_id': 'C0005847', 'confidence': 1.0}], [{'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}, {'entity': 'unclear', 'concept_id': 'C4725585', 'confidence': 1.0}]]",2.0,1080.0,1920.0,0,0
5313,A completely occluded glomerular lumen.,HckEwJ_mAJE_image_ff8af70b-48bf-480f-b229-50dae7bb7f24.jpg,quilt,train,"['Renal', 'Hematopathology', 'Pulmonary']","['MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel', 'MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel']"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular Illumina. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular capillaries. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary","[[{'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'MPGN', 'concept_id': 'C0017662', 'confidence': 1.0}, {'entity': 'pattern', 'concept_id': 'C0449774', 'confidence': 1.0}], [{'entity': 'Red blood cells', 'concept_id': 'C0014772', 'confidence': 1.0}, {'entity': 'mesangium', 'concept_id': 'C0017655', 'confidence': 1.0}], [{'entity': 'occluded', 'concept_id': 'C0028778', 'confidence': 1.0}, {'entity': 'glomerular lumen', 'concept_id': 'C0022663', 'confidence': 0.8263139724731445}], [{'entity': 'Abnormality', 'concept_id': 'C1704258', 'confidence': 1.0}, {'entity': 'wall', 'concept_id': 'C0677535', 'confidence': 1.0}, {'entity': 'blood vessel', 'concept_id': 'C0005847', 'confidence': 1.0}], [{'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}, {'entity': 'unclear', 'concept_id': 'C4725585', 'confidence': 1.0}]]",2.0,1080.0,1920.0,0,0
5314,Abnormality in the wall of a blood vessel.,HckEwJ_mAJE_image_ff8af70b-48bf-480f-b229-50dae7bb7f24.jpg,quilt,train,"['Renal', 'Hematopathology', 'Pulmonary']","['MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel', 'MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel']"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular Illumina. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular capillaries. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary","[[{'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'MPGN', 'concept_id': 'C0017662', 'confidence': 1.0}, {'entity': 'pattern', 'concept_id': 'C0449774', 'confidence': 1.0}], [{'entity': 'Red blood cells', 'concept_id': 'C0014772', 'confidence': 1.0}, {'entity': 'mesangium', 'concept_id': 'C0017655', 'confidence': 1.0}], [{'entity': 'occluded', 'concept_id': 'C0028778', 'confidence': 1.0}, {'entity': 'glomerular lumen', 'concept_id': 'C0022663', 'confidence': 0.8263139724731445}], [{'entity': 'Abnormality', 'concept_id': 'C1704258', 'confidence': 1.0}, {'entity': 'wall', 'concept_id': 'C0677535', 'confidence': 1.0}, {'entity': 'blood vessel', 'concept_id': 'C0005847', 'confidence': 1.0}], [{'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}, {'entity': 'unclear', 'concept_id': 'C4725585', 'confidence': 1.0}]]",2.0,1080.0,1920.0,0,0
5315,The likely diagnosis is unclear.,HckEwJ_mAJE_image_ff8af70b-48bf-480f-b229-50dae7bb7f24.jpg,quilt,train,"['Renal', 'Hematopathology', 'Pulmonary']","['MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel', 'MPGN pattern', 'Red blood cells within the mesangium', 'Occluded glomerular lumen', 'Abnormality in the wall of a blood vessel']"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular Illumina. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary"," is, there is, okay. This looks like an MPGN pattern, right? This looks like an MPGN pattern. And Illumina, they are occluded. Okay. But what are they occluded by? They're not occluded by inflammatory cells. It's not exudative. They are not neutrophils. Okay. Had a trichrome. What do you see over here? Lots of red blood cells, which appears to be fragmented and broken within the mesangium. And also completely occluded glomerular capillaries. And what we have, there's a blood vessel in the broken red blood cells. There's something, there's a kind of like abnormality in the wall. And yeah, there's something here. Okay. This is our silver stain. Let's go. What do you think is occluding the lumen? What is occluding a capillary","[[{'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'MPGN', 'concept_id': 'C0017662', 'confidence': 1.0}, {'entity': 'pattern', 'concept_id': 'C0449774', 'confidence': 1.0}], [{'entity': 'Red blood cells', 'concept_id': 'C0014772', 'confidence': 1.0}, {'entity': 'mesangium', 'concept_id': 'C0017655', 'confidence': 1.0}], [{'entity': 'occluded', 'concept_id': 'C0028778', 'confidence': 1.0}, {'entity': 'glomerular lumen', 'concept_id': 'C0022663', 'confidence': 0.8263139724731445}], [{'entity': 'Abnormality', 'concept_id': 'C1704258', 'confidence': 1.0}, {'entity': 'wall', 'concept_id': 'C0677535', 'confidence': 1.0}, {'entity': 'blood vessel', 'concept_id': 'C0005847', 'confidence': 1.0}], [{'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}, {'entity': 'unclear', 'concept_id': 'C4725585', 'confidence': 1.0}]]",2.0,1080.0,1920.0,0,0
5344,"Identification of yeast with a capsule and halo, consistent with cryptococcosis.",BiQPiolpP0A_image_bc8d5683-e5ce-40fe-a909-6f647e7143bd.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Hematopathology']","['Identification of yeast with a capsule and halo, consistent with cryptococcosis.']"," and compatible with the size of what we would expect a yeast. So these are little yeasts, and they are surrounded by a halo, right? And so this halo is actually a capsule. And so if we were to stain, we don't have special stains here with us, but this yeast would stain positive with PAS, with GMS, and with Fontana stain. And the capsule will stain positive with Alsium Blue and Musycarmin. So the diagnosis here is that of cryptococcosis. So you have a very flora example of cryptococcosis, where you"," and compatible with the size of what we would expect a yeast. So these are little yeasts, and they are surrounded by a halo, right? And so this halo is actually a capsule. And so if we were to stain, we don't have special stains here with us, but this yeast would stain positive with PAS, with GMS, and with Fontana stain. And the capsule will stain positive with alcian blue and mucicarmine. So the diagnosis here is that of cryptococcosis. So you have a very flora example of cryptococcosis, where you","[[{'entity': 'Identification', 'concept_id': 'C0020792', 'confidence': 1.0}, {'entity': 'yeast', 'concept_id': 'C0036025', 'confidence': 0.9999999403953552}, {'entity': 'capsule', 'concept_id': 'C0006935', 'confidence': 1.0}, {'entity': 'halo', 'concept_id': 'C0271188', 'confidence': 1.0}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'cryptococcosis', 'concept_id': 'C0010414', 'confidence': 1.0}], [{'entity': 'Special stains', 'concept_id': 'C0038128', 'confidence': 0.7105166912078857}, {'entity': 'PAS', 'concept_id': 'C0030125', 'confidence': 1.0}, {'entity': 'GMS', 'concept_id': 'C4764197', 'confidence': 0.6768916845321655}, {'entity': 'Fontana stain', 'concept_id': 'C1293973', 'confidence': 0.6575832366943359}, {'entity': 'positive', 'concept_id': 'C1446409', 'confidence': 1.0}, {'entity': 'yeast', 'concept_id': 'C0036025', 'confidence': 0.9999999403953552}, {'entity': 'alcian blue', 'concept_id': 'C0001933', 'confidence': 1.0}, {'entity': 'mucicarmine', 'concept_id': 'C0066912', 'confidence': 0.9999999403953552}, {'entity': 'positive', 'concept_id': 'C1446409', 'confidence': 1.0}, {'entity': 'capsule', 'concept_id': 'C0006935', 'confidence': 1.0}]]",2.0,576.0,1280.0,0,0
5345,"Special stains such as PAS, GMS, and Fontana stain would be positive for the yeast, while alcian blue and mucicarmine would be positive for the capsule.",BiQPiolpP0A_image_bc8d5683-e5ce-40fe-a909-6f647e7143bd.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Hematopathology']","['Identification of yeast with a capsule and halo, consistent with cryptococcosis.']"," and compatible with the size of what we would expect a yeast. So these are little yeasts, and they are surrounded by a halo, right? And so this halo is actually a capsule. And so if we were to stain, we don't have special stains here with us, but this yeast would stain positive with PAS, with GMS, and with Fontana stain. And the capsule will stain positive with Alsium Blue and Musycarmin. So the diagnosis here is that of cryptococcosis. So you have a very flora example of cryptococcosis, where you"," and compatible with the size of what we would expect a yeast. So these are little yeasts, and they are surrounded by a halo, right? And so this halo is actually a capsule. And so if we were to stain, we don't have special stains here with us, but this yeast would stain positive with PAS, with GMS, and with Fontana stain. And the capsule will stain positive with alcian blue and mucicarmine. So the diagnosis here is that of cryptococcosis. So you have a very flora example of cryptococcosis, where you","[[{'entity': 'Identification', 'concept_id': 'C0020792', 'confidence': 1.0}, {'entity': 'yeast', 'concept_id': 'C0036025', 'confidence': 0.9999999403953552}, {'entity': 'capsule', 'concept_id': 'C0006935', 'confidence': 1.0}, {'entity': 'halo', 'concept_id': 'C0271188', 'confidence': 1.0}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'cryptococcosis', 'concept_id': 'C0010414', 'confidence': 1.0}], [{'entity': 'Special stains', 'concept_id': 'C0038128', 'confidence': 0.7105166912078857}, {'entity': 'PAS', 'concept_id': 'C0030125', 'confidence': 1.0}, {'entity': 'GMS', 'concept_id': 'C4764197', 'confidence': 0.6768916845321655}, {'entity': 'Fontana stain', 'concept_id': 'C1293973', 'confidence': 0.6575832366943359}, {'entity': 'positive', 'concept_id': 'C1446409', 'confidence': 1.0}, {'entity': 'yeast', 'concept_id': 'C0036025', 'confidence': 0.9999999403953552}, {'entity': 'alcian blue', 'concept_id': 'C0001933', 'confidence': 1.0}, {'entity': 'mucicarmine', 'concept_id': 'C0066912', 'confidence': 0.9999999403953552}, {'entity': 'positive', 'concept_id': 'C1446409', 'confidence': 1.0}, {'entity': 'capsule', 'concept_id': 'C0006935', 'confidence': 1.0}]]",2.0,576.0,1280.0,0,0
5346,"Description of different patterns and subtypes of angiosarcoma, including epithelioid and spindle cell types.",FsWFQKwCJr8_image_1bc319fa-11a6-4210-a755-c5b183e62787.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",['Epithelioid type cells that look like a breast cancer aggregation.']," This pattern here, which is kind of interesting, is more like the epithelioid type. So notice these cells are cuboidal and they kind of look like an epithelium. That almost looks like a breast cancer aggregation there a little bit, right? Just like that case we just saw. So they can look like an epithelium. It's still angiosarcoma, but it looks like an epithelium. So that's just an epithelium. And then there's another type that can be mostly spindle cells. So they can be very poorly differentiated. So there can be a number of different subtypes of angiosarcoma. This is the pattern you really want to look for, these slit-like spaces here and this very diffuse pattern with these very atypical cells like this. This is pretty"," This pattern here, which is kind of interesting, is more like the epithelioid type. So notice these cells are cuboidal and they kind of look like an epithelium. That almost looks like a breast cancer aggregation there a little bit, right? Just like that case we just saw. So they can look like an epithelium. It's still angiosarcoma, but it looks like an epithelium. So that's just an epithelium. And then there's another type that can be mostly spindle cells. So they can be very poorly differentiated. So there can be a number of different subtypes of angiosarcoma. This is the pattern you really want to look for, these slit-like spaces here and this very diffuse pattern with these very atypical cells like this. This is pretty","[[{'entity': 'Description', 'concept_id': 'C0678257', 'confidence': 1.0}, {'entity': 'patterns', 'concept_id': 'C0449774', 'confidence': 1.0}, {'entity': 'subtypes', 'concept_id': 'C0449560', 'confidence': 1.0}, {'entity': 'angiosarcoma', 'concept_id': 'C0018923', 'confidence': 1.0}, {'entity': 'epithelioid', 'concept_id': 'C0014603', 'confidence': 0.8891293406486511}, {'entity': 'spindle cell', 'concept_id': 'C0682540', 'confidence': 0.9999999403953552}], [{'entity': 'Identification', 'concept_id': 'C0020792', 'confidence': 1.0}, {'entity': 'slit-like spaces', 'concept_id': 'C0205356', 'confidence': 0.8726169466972351}, {'entity': 'diffuse', 'concept_id': 'C0205219', 'confidence': 1.0}, {'entity': 'atypical cells', 'concept_id': 'C0333865', 'confidence': 1.0}, {'entity': 'features', 'concept_id': 'C1521970', 'confidence': 1.0}]]",2.0,1040.0,1920.0,0,0
5347,Identification of slit-like spaces and diffuse pattern with atypical cells as important features to look for.,FsWFQKwCJr8_image_1bc319fa-11a6-4210-a755-c5b183e62787.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",['Epithelioid type cells that look like a breast cancer aggregation.']," This pattern here, which is kind of interesting, is more like the epithelioid type. So notice these cells are cuboidal and they kind of look like an epithelium. That almost looks like a breast cancer aggregation there a little bit, right? Just like that case we just saw. So they can look like an epithelium. It's still angiosarcoma, but it looks like an epithelium. So that's just an epithelium. And then there's another type that can be mostly spindle cells. So they can be very poorly differentiated. So there can be a number of different subtypes of angiosarcoma. This is the pattern you really want to look for, these slit-like spaces here and this very diffuse pattern with these very atypical cells like this. This is pretty"," This pattern here, which is kind of interesting, is more like the epithelioid type. So notice these cells are cuboidal and they kind of look like an epithelium. That almost looks like a breast cancer aggregation there a little bit, right? Just like that case we just saw. So they can look like an epithelium. It's still angiosarcoma, but it looks like an epithelium. So that's just an epithelium. And then there's another type that can be mostly spindle cells. So they can be very poorly differentiated. So there can be a number of different subtypes of angiosarcoma. This is the pattern you really want to look for, these slit-like spaces here and this very diffuse pattern with these very atypical cells like this. This is pretty","[[{'entity': 'Description', 'concept_id': 'C0678257', 'confidence': 1.0}, {'entity': 'patterns', 'concept_id': 'C0449774', 'confidence': 1.0}, {'entity': 'subtypes', 'concept_id': 'C0449560', 'confidence': 1.0}, {'entity': 'angiosarcoma', 'concept_id': 'C0018923', 'confidence': 1.0}, {'entity': 'epithelioid', 'concept_id': 'C0014603', 'confidence': 0.8891293406486511}, {'entity': 'spindle cell', 'concept_id': 'C0682540', 'confidence': 0.9999999403953552}], [{'entity': 'Identification', 'concept_id': 'C0020792', 'confidence': 1.0}, {'entity': 'slit-like spaces', 'concept_id': 'C0205356', 'confidence': 0.8726169466972351}, {'entity': 'diffuse', 'concept_id': 'C0205219', 'confidence': 1.0}, {'entity': 'atypical cells', 'concept_id': 'C0333865', 'confidence': 1.0}, {'entity': 'features', 'concept_id': 'C1521970', 'confidence': 1.0}]]",2.0,1040.0,1920.0,0,0
5350,Poroma is commonly found in feet and is connected with the epidermis.,1kHjnpFxKLg_image_a9f7ca17-49a6-44f2-8ca2-2d4a25301427.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Breast']","['epidermis', 'epidermis', 'feet', 'acrosyringial cells', 'ductal differentiation']"," epidermis, very, very important, it is connected with epidermis and commonly found in feet. And this is a low power for boroma with connection with epidermis. Higher power picture shows the acrosyringial cells and very important, the ductal differentiation. Next entity, very important, is hydroacanthoma simplex. Basically it"," epidermis, very, very important, it is connected with epidermis and commonly found in feet. And this is a low power for poroma with connection with epidermis. Higher power picture shows the acrosyringial cells and very important, the ductal differentiation is seen. Next entity, very important, is poroma simplex. Basically it","[[{'entity': 'Poroma', 'concept_id': 'C1533161', 'confidence': 1.0}, {'entity': 'feet', 'concept_id': 'C0016504', 'confidence': 1.0}, {'entity': 'epidermis', 'concept_id': 'C0014520', 'confidence': 1.0}], [{'entity': 'Acrosyringial cells', 'concept_id': 'C0227651', 'confidence': 0.5514036417007446}, {'entity': 'ductal differentiation', 'concept_id': 'C0007589', 'confidence': 0.8548269867897034}, {'entity': 'poroma', 'concept_id': 'C1533161', 'confidence': 1.0}], [{'entity': 'Poroma simplex', 'concept_id': 'C2338991', 'confidence': 0.7964189052581787}, {'entity': 'entity', 'concept_id': 'C1551338', 'confidence': 1.0}]]",2.0,480.0,736.0,0,0
5360,"The organ being described is the pancreas, which has lobes and lobules and glandular areas surrounded by connective tissue.",TZLGiODqtUM_image_959e17ec-1572-438a-9ed0-cf21c03fed9f.jpg,quilt,train,"['Endocrine', 'Gastrointestinal', 'Renal']","['pancreas', 'acini']"," Here is a mysterious organ. It appears to have lobes and lobules and connective tissue surrounding little glandular areas. That makes it a classical exocrine type of gland, doesn't it? In fact, this is a pancreas. Here are the acini. This whole thing could be considered"," Here is a mysterious organ. It appears to have lobes and lobules and connective tissue surrounding little glandular areas. That makes it a classical exocrine type of gland, doesn't it? In fact, this is a pancreas. Here are the acini. This whole thing could be considered","[[{'entity': 'organ', 'concept_id': 'C0178784', 'confidence': 1.0}, {'entity': 'pancreas', 'concept_id': 'C0030274', 'confidence': 0.9999999403953552}, {'entity': 'lobes', 'concept_id': 'C0796494', 'confidence': 0.9999999403953552}, {'entity': 'lobules', 'concept_id': 'C0921005', 'confidence': 1.0}, {'entity': 'glandular areas', 'concept_id': 'C0225353', 'confidence': 0.8188822269439697}, {'entity': 'surrounded', 'concept_id': 'C1282914', 'confidence': 1.0}, {'entity': 'connective tissue', 'concept_id': 'C0009780', 'confidence': 1.0}], [{'entity': 'acini', 'concept_id': 'C0596030', 'confidence': 0.7628078460693359}, {'entity': 'pancreas', 'concept_id': 'C0030274', 'confidence': 0.9999999403953552}, {'entity': 'visible', 'concept_id': 'C0205379', 'confidence': 0.9999998807907104}]]",2.0,480.0,522.0,0,1
